protein	KO	enrichM_annotation
WP_041547671.1	K01687	ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]
custom_2047645_6	K07659	"ompR; two-component system, OmpR family, phosphate regulon response regulator OmpR"
custom_15450_4	K02863	"RP-L1, MRPL1, rplA; large subunit ribosomal protein L1"
custom_2082819_33	K02931	"RP-L5, MRPL5, rplE; large subunit ribosomal protein L5"
custom_2051367_87	K01689	"ENO, eno; enolase [EC:4.2.1.11]"
WP_043108263.1	K01637	"E4.1.3.1, aceA; isocitrate lyase [EC:4.1.3.1]"
custom_1639859_9	K07274	"mipA, ompV; MipA family protein"
WP_043814147.1	K00198	"cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]"
custom_1938223_23	K03781	"katE, CAT, catB, srpA; catalase [EC:1.11.1.6]"
AJP47391.1	K01876	aspS; aspartyl-tRNA synthetase [EC:6.1.1.12]
AJP48102.1	K03568	tldD; TldD protein
custom_1079452_3	K02965	"RP-S19, rpsS; small subunit ribosomal protein S19"
AJP49034.1	K02886	"RP-L2, MRPL2, rplB; large subunit ribosomal protein L2"
CED79243.1	K02358	"tuf, TUFM; elongation factor Tu"
custom_457348_62	K03043	rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
WP_046486662.1	K02519	"infB, MTIF2; translation initiation factor IF-2"
WP_046828055.1	K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
custom_2339967_5	K03147	thiC; phosphomethylpyrimidine synthase [EC:4.1.99.17]
KLT21213.1	K02355	"fusA, GFM, EFG; elongation factor G"
custom_1089304_1	K02358	"tuf, TUFM; elongation factor Tu"
custom_295958_1	K02358	"tuf, TUFM; elongation factor Tu"
WP_050163233.1	K02111	"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"
custom_1188146_16	K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
custom_327845_33	K03744	lemA; LemA protein
WP_053322368.1	K02358	"tuf, TUFM; elongation factor Tu"
WP_053419840.1	K03286	"TC.OOP; OmpA-OmpF porin, OOP family"
custom_159291_3	K02913	"RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33"
custom_507469_2	K04077	"groEL, HSPD1; chaperonin GroEL"
WP_054020873.1	K00114	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
custom_1700158_7	K08679	E5.1.3.6; UDP-glucuronate 4-epimerase [EC:5.1.3.6]
custom_64683_1	K02358	"tuf, TUFM; elongation factor Tu"
KPL27828.1	K00134	"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
WP_054620642.1	K01626	"E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"
custom_91238_10	K00031	"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
WP_054622354.1	K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
WP_055423460.1	K02871	"RP-L13, MRPL13, rplM; large subunit ribosomal protein L13"
custom_908364_7	K03530	hupB; DNA-binding protein HU-beta
custom_1050852_2	K02658	pilH; twitching motility two-component system response regulator PilH
custom_302090_2	K03043	rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
custom_1982331_10	K01647	"CS, gltA; citrate synthase [EC:2.3.3.1]"
WP_056881558.1	K01895	"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
WP_058346229.1	K06907	K06907; uncharacterized protein
WP_058554051.1	K11900	impC; type VI secretion system protein ImpC
KXS33693.1	K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
WP_061499593.1	K02863	"RP-L1, MRPL1, rplA; large subunit ribosomal protein L1"
WP_062188045.1	K03695	clpB; ATP-dependent Clp protease ATP-binding subunit ClpB
custom_1092003_53	K16089	"TC.FEV.OM2, cirA, cfrA, hmuR; outer membrane receptor for ferrienterochelin and colicins"
WP_062353611.1	K01895	"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
custom_2276884_33	K06076	fadL; long-chain fatty acid transport protein
custom_1349582_8	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
custom_2558168_35	K02664	pilO; type IV pilus assembly protein PilO
custom_2245854_72	K00822	E2.6.1.18; beta-alanine--pyruvate transaminase [EC:2.6.1.18]
custom_2499709_33	K02112	"ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"
custom_1705608_30	K12340	tolC; outer membrane protein
custom_1133207_15	K07275	ompW; outer membrane protein
custom_2184937_60	K01251	"E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]"
custom_577332_5	K01251	"E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]"
SBT07070.1	K00658	"DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
custom_1902758_4	K14446	ccr; crotonyl-CoA carboxylase/reductase [EC:1.3.1.85]
SBT04022.1	K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]
custom_2192516_2	K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
custom_1160734_12	K03286	"TC.OOP; OmpA-OmpF porin, OOP family"
custom_1268203_17	K01759	"GLO1, gloA; lactoylglutathione lyase [EC:4.4.1.5]"
SBT07161.1	K03285	"TC.GBP; general bacterial porin, GBP family"
custom_1427159_2	K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
custom_2062739_2	K00134	"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
SBT05777.1	K02660	pilJ; twitching motility protein PilJ
SBT03638.1	K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
custom_1798434_37	K01703	"leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]"
WP_066130768.1	K02519	"infB, MTIF2; translation initiation factor IF-2"
custom_1275164_2	K02926	"RP-L4, MRPL4, rplD; large subunit ribosomal protein L4"
WP_066800970.1	K02111	"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"
custom_1206307_4	K02886	"RP-L2, MRPL2, rplB; large subunit ribosomal protein L2"
WP_066882428.1	K15726	"czcA, cusA, cnrA; heavy metal efflux system protein"
custom_1639797_1	K00658	"DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
WP_066882668.1	K20937	boh; 1-butanol dehydrogenase (quinone) [EC:1.1.5.11]
WP_066884466.1	K03407	"cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]"
custom_2062429_10	K03738	aor; aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]
WP_066886845.1	K02012	"afuA, fbpA; iron(III) transport system substrate-binding protein"
WP_066981667.1	K11900	impC; type VI secretion system protein ImpC
custom_496690_5	K01933	purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]
WP_068636652.1	K06907	K06907; uncharacterized protein
WP_068805178.1	K01895	"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
WP_069037425.1	K01895	"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
custom_1381803_2	K02982	"RP-S3, rpsC; small subunit ribosomal protein S3"
custom_243621_5	K03285	"TC.GBP; general bacterial porin, GBP family"
WP_069046638.1	K00164	"OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"
custom_327845_109	K01999	livK; branched-chain amino acid transport system substrate-binding protein
ODS71062.1	K00370	"narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]"
custom_2253352_29	K00600	"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"
ODS73451.1	K02355	"fusA, GFM, EFG; elongation factor G"
custom_86090_266	K15726	"czcA, cusA, cnrA; heavy metal efflux system protein"
ODU10426.1	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_2553183_8	K15727	"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system"
ODU57472.1	K02358	"tuf, TUFM; elongation factor Tu"
custom_1672426_2	K03386	"PRDX2_4, ahpC; peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]"
ODU92658.1	K04077	"groEL, HSPD1; chaperonin GroEL"
custom_1018498_27	K17208	"K17208, ibpA; inositol transport system substrate-binding protein"
OFZ96113.1	K04487	"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"
OGA02679.1	K01966	"PCCB, pccB; propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]"
OGA32904.1	K01937	"pyrG, CTPS; CTP synthase [EC:6.3.4.2]"
OGA33678.1	K15987	hppA; K(+)-stimulated pyrophosphate-energized sodium pump
custom_2636938_8	K02890	"RP-L22, MRPL22, rplV; large subunit ribosomal protein L22"
OGA54848.1	K15987	hppA; K(+)-stimulated pyrophosphate-energized sodium pump
OGB28478.1	K11688	dctP; C4-dicarboxylate-binding protein DctP
custom_1728605_25	K00138	aldB; aldehyde dehydrogenase [EC:1.2.1.-]
OGB39869.1	K01847	MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]
OGI46044.1	K02355	"fusA, GFM, EFG; elongation factor G"
OGS92337.1	K01689	"ENO, eno; enolase [EC:4.2.1.11]"
OGU22701.1	K03628	rho; transcription termination factor Rho
OGU52319.1	K07180	prkA; serine protein kinase
OGV72118.1	K00370	"narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]"
OGW20020.1	K04077	"groEL, HSPD1; chaperonin GroEL"
OGW51195.1	K01999	livK; branched-chain amino acid transport system substrate-binding protein
OHC65429.1	K02886	"RP-L2, MRPL2, rplB; large subunit ribosomal protein L2"
OHC65605.1	K03046	rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
custom_2450193_3	K02992	"RP-S7, MRPS7, rpsG; small subunit ribosomal protein S7"
OHC65946.1	K16090	fiu; catecholate siderophore receptor
custom_991575_11	K03594	bfr; bacterioferritin [EC:1.16.3.1]
OHC66337.1	K01951	"guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]"
OHC67264.1	K01689	"ENO, eno; enolase [EC:4.2.1.11]"
custom_1758877_29	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
OHE60758.1	K01649	"leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]"
custom_1074337_8	K02111	"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"
custom_1071891_3	K01703	"leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]"
WP_070987526.1	K00371	"narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"
custom_2252638_3	K02112	"ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"
OIP07408.1	K02567	napA; nitrate reductase (cytochrome) [EC:1.9.6.1]
CUR08644.1	K02358	"tuf, TUFM; elongation factor Tu"
custom_138677_17	K01638	"aceB, glcB; malate synthase [EC:2.3.3.9]"
custom_654959_191	K02358	"tuf, TUFM; elongation factor Tu"
custom_552922_2	K00412	"CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit"
custom_2498570_4	K00248	"ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]"
OJW47654.1	K01596	"E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]"
OJW48336.1	K00658	"DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
custom_1400174_11	K00626	"E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
OJW48773.1	K00600	"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"
OJW49421.1	K01999	livK; branched-chain amino acid transport system substrate-binding protein
OJW49820.1	K03530	hupB; DNA-binding protein HU-beta
custom_862505_140	K07180	prkA; serine protein kinase
custom_256864_9	K00029	"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
custom_1287981_8	K01534	zntA; Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]
OJX70055.1	K02358	"tuf, TUFM; elongation factor Tu"
OJY14595.1	K01647	"CS, gltA; citrate synthase [EC:2.3.3.1]"
WP_072784673.1	K00376	nosZ; nitrous-oxide reductase [EC:1.7.2.4]
WP_074264145.1	K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
WP_074762537.1	K02115	"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"
custom_1294555_10	K04487	"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"
custom_2382830_2	K01653	"E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]"
WP_077236488.1	K15726	"czcA, cusA, cnrA; heavy metal efflux system protein"
WP_077296185.1	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_1753160_2	K02355	"fusA, GFM, EFG; elongation factor G"
custom_1866255_5	K02358	"tuf, TUFM; elongation factor Tu"
WP_079432589.1	K03406	mcp; methyl-accepting chemotaxis protein
custom_2158482_5	K02601	nusG; transcription termination/antitermination protein NusG
custom_449151_1	K02863	"RP-L1, MRPL1, rplA; large subunit ribosomal protein L1"
custom_1617592_7	K02982	"RP-S3, rpsC; small subunit ribosomal protein S3"
custom_1850336_1	K02878	"RP-L16, MRPL16, rplP; large subunit ribosomal protein L16"
custom_1252480_4	K02874	"RP-L14, MRPL14, rplN; large subunit ribosomal protein L14"
custom_473600_3	K02907	"RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30"
custom_2422865_2	K02986	"RP-S4, rpsD; small subunit ribosomal protein S4"
custom_1889132_8	K03413	"cheY; two-component system, chemotaxis family, chemotaxis protein CheY"
WP_079432735.1	K10001	"gltI, aatJ; glutamate/aspartate transport system substrate-binding protein"
custom_174984_1	K01886	"QARS, glnS; glutaminyl-tRNA synthetase [EC:6.1.1.18]"
custom_1006441_1	K03609	minD; septum site-determining protein MinD
custom_1129766_14	K02495	"hemN, hemZ; oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]"
WP_079433082.1	K02230	cobN; cobaltochelatase CobN [EC:6.6.1.2]
custom_1320823_4	K01878	glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]
custom_2362317_2	K01879	glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14]
custom_2242795_2	K03694	clpA; ATP-dependent Clp protease ATP-binding subunit ClpA
custom_2042774_8	K00031	"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
custom_1556640_2	K03218	rlmB; 23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]
custom_2148740_10	K00331	nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]
custom_2540179_4	K01696	trpB; tryptophan synthase beta chain [EC:4.2.1.20]
custom_6866_6	K03802	cphA; cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]
WP_079433830.1	K03802	cphA; cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]
WP_079433990.1	K00003	hom; homoserine dehydrogenase [EC:1.1.1.3]
custom_644248_3	K00012	"UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]"
custom_2664770_8	K02669	pilT; twitching motility protein PilT
WP_079434343.1	K00138	aldB; aldehyde dehydrogenase [EC:1.2.1.-]
custom_2414431_3	K00625	"E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8]"
custom_1751261_2	K20074	"prpC, phpP; PPM family protein phosphatase [EC:3.1.3.16]"
custom_225819_2	K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
WP_079434519.1	K03217	"yidC, spoIIIJ, OXA1, ccfA; YidC/Oxa1 family membrane protein insertase"
custom_1712554_4	K15726	"czcA, cusA, cnrA; heavy metal efflux system protein"
custom_1317483_2	K02433	"gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]"
WP_079434807.1	K03406	mcp; methyl-accepting chemotaxis protein
custom_185008_5	K00989	rph; ribonuclease PH [EC:2.7.7.56]
custom_2025675_4	K04087	hflC; modulator of FtsH protease HflC
custom_308031_1	K01939	"purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]"
custom_2465703_3	K00951	relA; GTP pyrophosphokinase [EC:2.7.6.5]
custom_384822_2	K07220	K07220; uncharacterized protein
custom_1562853_4	K01451	hipO; hippurate hydrolase [EC:3.5.1.32]
custom_556014_4	K01887	"RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]"
WP_079435388.1	K03701	uvrA; excinuclease ABC subunit A
custom_1582581_5	K00832	tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]
custom_645843_11	K15726	"czcA, cusA, cnrA; heavy metal efflux system protein"
custom_951887_18	K15725	"czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system"
custom_196942_1	K15725	"czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system"
custom_1607186_7	K01876	aspS; aspartyl-tRNA synthetase [EC:6.1.1.12]
WP_079436687.1	K01007	"pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]"
custom_382883_5	K03737	"por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]"
custom_1020017_3	K01768	E4.6.1.1; adenylate cyclase [EC:4.6.1.1]
custom_2382830_3	K01652	"E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"
custom_2382830_2	K01653	"E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]"
custom_1754162_5	K10914	"crp; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein"
custom_1132579_90	K02112	"ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"
custom_1535500_307	K04077	"groEL, HSPD1; chaperonin GroEL"
custom_2375629_2	K03046	rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
WP_081148932.1	K04487	"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"
custom_2091542_54	K03285	"TC.GBP; general bacterial porin, GBP family"
custom_1278202_2	K15987	hppA; K(+)-stimulated pyrophosphate-energized sodium pump
custom_988792_3	K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
custom_103044_7	K00262	"E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"
custom_457620_15	K02470	gyrB; DNA gyrase subunit B [EC:5.6.2.2]
custom_425316_21	K01534	zntA; Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]
WP_083518263.1	K01991	"wza, gfcE; polysaccharide biosynthesis/export protein"
WP_083833987.1	K01908	"ACSS3, prpE; propionyl-CoA synthetase [EC:6.2.1.17]"
custom_541474_2	K15725	"czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system"
custom_769076_4	K16087	"TC.FEV.OM3, tbpA, hemR, lbpA, hpuB, bhuR, hugA, hmbR; hemoglobin/transferrin/lactoferrin receptor protein"
WP_085276993.1	K01955	"carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]"
custom_606746_1	K02358	"tuf, TUFM; elongation factor Tu"
WP_087648738.1	K00371	"narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"
ARX77499.1	K00895	"pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]"
custom_1337747_24	K17713	bamB; outer membrane protein assembly factor BamB
custom_503965_8	K00376	nosZ; nitrous-oxide reductase [EC:1.7.2.4]
custom_189401_12	K00674	"dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
OWQ83025.1	K02406	fliC; flagellin
WP_088382570.1	K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
WP_088382621.1	K07192	FLOT; flotillin
custom_271487_24	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
custom_1028806_64	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
custom_2504064_40	K16090	fiu; catecholate siderophore receptor
WP_088534965.1	K01251	"E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]"
WP_089417628.1	K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
custom_1573214_1	K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
WP_090373040.1	K00335	nuoF; NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]
custom_1034414_2	K10535	hao; hydroxylamine dehydrogenase [EC:1.7.2.6]
WP_091454393.1	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_325270_3	K02051	ABC.SN.S; NitT/TauT family transport system substrate-binding protein
WP_091935000.1	K01676	"E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]"
WP_091935138.1	K00024	mdh; malate dehydrogenase [EC:1.1.1.37]
WP_091936163.1	K04564	"SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]"
custom_1120275_2	K02358	"tuf, TUFM; elongation factor Tu"
WP_092298750.1	K17321	glpV; glycerol transport system substrate-binding protein
custom_1082339_3	K02112	"ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"
WP_092933185.1	K15987	hppA; K(+)-stimulated pyrophosphate-energized sodium pump
WP_092970126.1	K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
WP_093011122.1	K01966	"PCCB, pccB; propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]"
WP_093287526.1	K02111	"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"
custom_2599906_2	K02406	fliC; flagellin
WP_093485729.1	K02406	fliC; flagellin
custom_1089304_1	K02358	"tuf, TUFM; elongation factor Tu"
custom_2331497_24	K03070	secA; preprotein translocase subunit SecA [EC:7.4.2.8]
custom_2061993_5	K04487	"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"
OYV35612.1	K04487	"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"
custom_298426_14	K02078	acpP; acyl carrier protein
OYY38050.1	K00405	ccoO; cytochrome c oxidase cbb3-type subunit II
custom_363146_15	K01814	hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]
OYY97468.1	K00088	"IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]"
OYZ00001.1	K02358	"tuf, TUFM; elongation factor Tu"
OZA30779.1	K06207	"typA, bipA; GTP-binding protein"
