protein	IPR	GO	Pfam	Interproscan_annotation	
WP_032238732.1	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
WP_032238732.1	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
custom_1978611_12	IPR011095	GO:0008716	PF07478	"D-alanine--D-alanine ligase, C-terminal"	KEGG: 00473+6.3.2.4|KEGG: 00550+6.3.2.4|MetaCyc: PWY-6386|MetaCyc: PWY-6387|MetaCyc: PWY-7953
custom_1978611_12	IPR011127	-	PF01820	"D-alanine--D-alanine ligase, N-terminal domain"	KEGG: 00473+6.3.2.4|KEGG: 00550+6.3.2.4|MetaCyc: PWY-6386|MetaCyc: PWY-6387|MetaCyc: PWY-7953
custom_126352_4	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
custom_126352_4	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
custom_126352_4	IPR041095	-	PF14492	"Elongation Factor G, domain II"	
custom_126352_4	IPR000640	-	PF00679	"Elongation factor EFG, domain V-like"	
custom_126352_4	IPR005517	GO:0005525	PF03764	"Translation elongation factor EFG/EF2, domain IV"	
WP_079433780.1	IPR007695	GO:0005524|GO:0006298|GO:0030983	PF01624	"DNA mismatch repair protein MutS-like, N-terminal"	Reactome: R-HSA-5632928
WP_079433780.1	IPR000432	GO:0005524|GO:0006298|GO:0030983	PF00488	"DNA mismatch repair protein MutS, C-terminal"	
WP_079433780.1	IPR007860	GO:0005524|GO:0006298|GO:0030983	PF05188	"DNA mismatch repair protein MutS, connector domain"	
WP_079433780.1	IPR007861	GO:0005524|GO:0006298|GO:0030983	PF05190	"DNA mismatch repair protein MutS, clamp"	
WP_079433780.1	IPR007696	GO:0005524|GO:0006298|GO:0030983	PF05192	"DNA mismatch repair protein MutS, core"	
WP_093185080.1	IPR006685	GO:0016020|GO:0055085	PF00924	Mechanosensitive ion channel MscS	
GAP36101.1	IPR006665	-	PF00691	OmpA-like domain	
custom_2540915_18	IPR034300	-	PF02233	NADP transhydrogenase beta-like domain	Reactome: R-HSA-71403
custom_659093_6	IPR006047	GO:0003824|GO:0005975	PF00128	"Glycosyl hydrolase, family 13, catalytic domain"	
custom_659093_6	IPR021828	GO:0004553	PF11896	"Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase, domain N/S"	KEGG: 00500+2.4.99.16|MetaCyc: PWY-7900
custom_1079452_2	IPR001063	GO:0003735|GO:0005840|GO:0006412	PF00237	Ribosomal protein L22/L17	
TAG02057.1	IPR003760	GO:0005886	PF02608	ABC transporter substrate-binding protein PnrA-like	
custom_638976_13	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
custom_638976_13	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
WP_002619322.1	IPR003849	-	PF02699	Preprotein translocase YajC	
WP_079434343.1	IPR015590	GO:0016491|GO:0055114	PF00171	Aldehyde dehydrogenase domain	
custom_1553011_1	IPR001789	GO:0000160	PF00072	"Signal transduction response regulator, receiver domain"	
WP_007851976.1	IPR007055	-	PF04972	BON domain	
WP_007851976.1	IPR018392	-	PF01476	LysM domain	
custom_316845_17	IPR001107	-	PF01145	Band 7 domain	
TAK91831.1	IPR002481	GO:0003700|GO:0006355	PF01475	Ferric-uptake regulator	
custom_302090_2	IPR007642	GO:0003677|GO:0003899|GO:0006351	PF04561	"RNA polymerase Rpb2, domain 2"	
custom_302090_2	IPR007642	GO:0003677|GO:0003899|GO:0006351	PF04561	"RNA polymerase Rpb2, domain 2"	
custom_302090_2	IPR007642	GO:0003677|GO:0003899|GO:0006351	PF04561	"RNA polymerase Rpb2, domain 2"	
custom_302090_2	IPR007120	GO:0003677|GO:0003899|GO:0006351	PF00562	"DNA-directed RNA polymerase, subunit 2, hybrid-binding domain"	
custom_302090_2	IPR007641	GO:0003677|GO:0003899|GO:0006351	PF04560	"RNA polymerase Rpb2, domain 7"	
custom_302090_2	IPR007645	GO:0003677|GO:0003899|GO:0006351	PF04565	"RNA polymerase Rpb2, domain 3"	
custom_302090_2	IPR019462	GO:0003899|GO:0006351	PF10385	"DNA-directed RNA polymerase, beta subunit, external 1 domain"	
custom_302090_2	IPR007644	GO:0003677|GO:0003899|GO:0006351	PF04563	"RNA polymerase, beta subunit, protrusion"	
custom_431155_55	IPR011701	GO:0055085	PF07690	Major facilitator superfamily	
PKO53254.1	IPR031310	-	PF00281	"Ribosomal protein L5, N-terminal"	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957
PKO53254.1	IPR031309	-	PF00673	"Ribosomal protein L5, C-terminal"	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957
custom_1698455_3	IPR019554	-	PF10531	Soluble ligand binding domain	Reactome: R-HSA-611105|Reactome: R-HSA-6799198
custom_1698455_3	IPR003715	GO:0015159|GO:0015774|GO:0016020	PF02563	Polysaccharide export protein	
WP_054965449.1	IPR006656	GO:0016491|GO:0055114	PF00384	Molybdopterin oxidoreductase	Reactome: R-HSA-611105|Reactome: R-HSA-6799198
WP_054965449.1	IPR006657	GO:0016491|GO:0043546|GO:0055114	PF01568	Molybdopterin dinucleotide-binding domain	
WP_054965449.1	IPR028189	-	PF14710	"Nitrate reductase, alpha subunit, N-terminal"	KEGG: 00910+1.7.5.1|MetaCyc: PWY-6748
custom_1000062_12	IPR029751	GO:0003735|GO:0005840|GO:0006412|GO:0008097	PF01386	Ribosomal protein L25	
custom_1000062_12	IPR020057	-	PF14693	"Ribosomal protein L25, beta domain"	
custom_90746_90	IPR001518	GO:0004055|GO:0005524|GO:0006526	PF00764	Argininosuccinate synthase	KEGG: 00220+6.3.4.5|KEGG: 00250+6.3.4.5|MetaCyc: PWY-4983|MetaCyc: PWY-4984|MetaCyc: PWY-5|MetaCyc: PWY-5154|MetaCyc: PWY-7400|Reactome: R-HSA-70635
WP_011288977.1	IPR001647	GO:0003677	PF00440	"DNA-binding HTH domain, TetR-type"	
custom_341140_5	IPR001041	GO:0009055|GO:0051536	PF00111	2Fe-2S ferredoxin-type iron-sulfur binding domain	
custom_42213_58	IPR001351	GO:0003735|GO:0006412	PF00189	"Ribosomal protein S3, C-terminal"	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957
custom_42213_58	IPR004044	GO:0003723	PF07650	"K Homology domain, type 2"	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957
custom_1518263_2	IPR024084	GO:0016616|GO:0055114	PF00180	Isopropylmalate dehydrogenase-like domain	Reactome: R-HSA-71403
custom_1518263_2	IPR012280	GO:0008652|GO:0016620|GO:0046983	PF02774	"Semialdehyde dehydrogenase, dimerisation domain"	KEGG: 00220+1.2.1.38|MetaCyc: PWY-5154|MetaCyc: PWY-7400
custom_1518263_2	IPR000534	GO:0016620|GO:0051287|GO:0055114	PF01118	"Semialdehyde dehydrogenase, NAD-binding"	
custom_548275_50	IPR000914	-	PF00496	Solute-binding protein family 5 domain	
WP_124606226.1	IPR021228	-	PF10923	Protein of unknown function DUF2791	
KPP83694.1	IPR006059	-	PF13416	Bacterial extracellular solute-binding protein	
WP_097662599.1	IPR001638	-	PF00497	Solute-binding protein  family 3/N-terminal domain of MltF	
custom_2349051_3	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
custom_2349051_3	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
custom_262465_30	IPR002192	GO:0005524|GO:0016301|GO:0016310	PF01326	"Pyruvate phosphate dikinase, PEP/pyruvate-binding"	
custom_262465_30	IPR008279	GO:0016310|GO:0016772	PF00391	"PEP-utilising enzyme, mobile domain"	
custom_262465_30	IPR000121	GO:0016310|GO:0016772	PF02896	"PEP-utilising enzyme, C-terminal"	
custom_1427685_6	IPR032317	-	PF16576	"RND efflux pump, membrane fusion protein, barrel-sandwich domain"	
RTL57769.1	IPR023087	-	PF01706	"Flagellar motor switch protein FliG, C-terminal"	
RTL57769.1	IPR032779	-	PF14841	"Flagellar motor switch protein FliG, middle domain"	
RTL57769.1	IPR028263	-	PF14842	"Flagellar motor switch protein FliG, N-terminal domain"	
WP_011286327.1	IPR004089	GO:0007165|GO:0016020	PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain	
custom_1818010_105	IPR000771	GO:0005975|GO:0008270|GO:0016832	PF01116	"Fructose-bisphosphate aldolase, class-II"	
WP_102245658.1	IPR002489	GO:0016491|GO:0055114	PF01493	"Glutamate synthase, alpha subunit, C-terminal"	
WP_102245658.1	IPR006982	GO:0006807|GO:0015930|GO:0055114	PF04898	"Glutamate synthase, central-N"	
WP_102245658.1	IPR002932	GO:0006537|GO:0015930|GO:0016638|GO:0055114	PF01645	Glutamate synthase domain	
WP_102245658.1	IPR017932	-	PF00310	Glutamine amidotransferase type 2 domain	
WP_002931325.1	IPR006035	GO:0046872	PF00491	Ureohydrolase	
WP_002931325.1	IPR005814	GO:0008483|GO:0030170	PF00202	Aminotransferase class-III	
custom_828381_36	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
custom_1155572_24	-	-	PF13561	-	
custom_2308954_10	IPR002500	GO:0003824	PF01507	Phosphoadenosine phosphosulphate reductase	Reactome: R-HSA-196843
WP_002926292.1	IPR024983	-	PF12770	CHAT domain	
custom_2621233_11	IPR011260	GO:0003677|GO:0003899|GO:0006351	PF03118	"RNA polymerase, alpha subunit, C-terminal"	
custom_2621233_11	IPR011263	GO:0003899|GO:0006351	PF01193	"DNA-directed RNA polymerase, RpoA/D/Rpb3-type"	
custom_2621233_11	IPR011262	GO:0003899|GO:0006351|GO:0046983	PF01000	"DNA-directed RNA polymerase, insert domain"	
RTL36441.1	IPR000262	GO:0016491	PF01070	FMN-dependent dehydrogenase	Reactome: R-HSA-9033241
WP_035540254.1	IPR020807	-	PF14765	"Polyketide synthase, dehydratase domain"	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558
WP_035540254.1	IPR014043	-	PF00698	Acyl transferase	
WP_035540254.1	IPR014031	-	PF02801	"Beta-ketoacyl synthase, C-terminal"	
WP_035540254.1	IPR013968	-	PF08659	"Polyketide synthase, ketoreductase domain"	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558
WP_035540254.1	IPR032821	-	PF16197	"Ketoacyl-synthetase, C-terminal extension"	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558
WP_035540254.1	-	-	PF13602	-	
WP_035540254.1	IPR009081	-	PF00550	Phosphopantetheine binding ACP domain	
WP_035540254.1	IPR014030	-	PF00109	"Beta-ketoacyl synthase, N-terminal"	
custom_1482664_2	IPR008269	GO:0004176|GO:0004252|GO:0006508	PF05362	"Peptidase S16, Lon proteolytic domain"	
custom_1482664_2	IPR003959	GO:0005524	PF00004	"ATPase, AAA-type, core"	
custom_1901570_2	IPR000131	GO:0015986|GO:0045261|GO:0046933	PF00231	"ATP synthase, F1 complex, gamma subunit"	Reactome: R-HSA-163210|Reactome: R-HSA-8949613
custom_1617438_3	IPR005883	-	PF11104	Type IV pilus assembly protein PilM	
custom_276716_15	IPR018164	GO:0000166|GO:0004813|GO:0005524|GO:0006419	PF01411	"Alanyl-tRNA synthetase, class IIc, N-terminal"	KEGG: 00970+6.1.1.7
custom_276716_15	IPR012947	GO:0004812|GO:0005524|GO:0043039	PF07973	"Threonyl/alanyl tRNA synthetase, SAD"	
custom_276716_15	IPR003156	GO:0003676	PF02272	DHHA1 domain	KEGG: 00970+6.1.1.7|Reactome: R-HSA-379716
WP_071414581.1	IPR001780	GO:0003735|GO:0005840|GO:0006412	PF01247	Ribosomal protein L35A	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957
WP_036482041.1	IPR041664	-	PF13191	"Orc1-like, AAA ATPase domain"	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962
WP_036482041.1	IPR001789	GO:0000160	PF00072	"Signal transduction response regulator, receiver domain"	
WP_036482041.1	IPR003661	GO:0000155|GO:0007165	PF00512	"Signal transduction histidine kinase, dimerisation/phosphoacceptor domain"	
WP_036482041.1	IPR003018	GO:0005515	PF01590	GAF domain	
WP_036482041.1	IPR013655	GO:0005515	PF08447	PAS fold-3	
WP_036482041.1	IPR003018	GO:0005515	PF13185	GAF domain	
WP_036482041.1	IPR000719	GO:0004672|GO:0005524|GO:0006468	PF00069	Protein kinase domain	
WP_036482041.1	IPR013656	-	PF08448	PAS fold-4	
WP_036482041.1	IPR013656	-	PF08448	PAS fold-4	
WP_036482041.1	IPR000014	-	PF13426	PAS domain	
WP_036482041.1	IPR000014	-	PF13426	PAS domain	
WP_036482041.1	IPR000014	-	PF13426	PAS domain	
WP_036482041.1	IPR000014	-	PF13426	PAS domain	
WP_036482041.1	IPR003594	-	PF02518	Histidine kinase/HSP90-like ATPase	
custom_2451886_8	IPR000868	GO:0003824	PF00857	Isochorismatase-like	
custom_366897_2	IPR003439	GO:0005524|GO:0016887	PF00005	ABC transporter-like	
custom_366897_2	IPR003439	GO:0005524|GO:0016887	PF00005	ABC transporter-like	
custom_366897_2	IPR032781	-	PF12848	ABC-transporter extension domain	
custom_963112_15	IPR001638	-	PF00497	Solute-binding protein  family 3/N-terminal domain of MltF	
custom_2344004_2	IPR016180	GO:0003735|GO:0005840|GO:0006412	PF00252	Ribosomal protein L10e/L16	
custom_692264_1	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
custom_692264_1	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
custom_692264_1	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
WP_074708295.1	IPR004131	GO:0004427|GO:0009678|GO:0016020|GO:1902600	PF03030	Pyrophosphate-energised proton pump	
WP_079434519.1	IPR038210	-	PF14849	"Membrane insertase YidC, periplasmic domain"	
WP_079434519.1	IPR001708	GO:0016021|GO:0032977	PF02096	Membrane  insertase YidC/ALB3/OXA1/COX18	
custom_1073509_3	IPR005811	GO:0003824	PF00549	ATP-citrate lyase/succinyl-CoA ligase	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384
custom_1073509_3	IPR013650	-	PF08442	"ATP-grasp fold, succinyl-CoA synthetase-type"	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384|Reactome: R-HSA-71403
OGA75137.1	IPR018740	-	PF10048	"Protein of unknown function DUF2282, integral membrane"	
PIY34222.1	IPR001789	GO:0000160	PF00072	"Signal transduction response regulator, receiver domain"	
custom_1639797_1	IPR004167	GO:0016746	PF02817	Peripheral subunit-binding domain	Reactome: R-HSA-389661
custom_1639797_1	IPR001078	GO:0016746	PF00198	"2-oxoacid dehydrogenase acyltransferase, catalytic domain"	Reactome: R-HSA-389661
custom_1639797_1	IPR000089	-	PF00364	Biotin/lipoyl attachment	
PKO57203.1	IPR001203	GO:0009055|GO:0016491|GO:0016625|GO:0051536|GO:0055114	PF01314	"Aldehyde ferredoxin oxidoreductase, C-terminal"	
PKO57203.1	IPR013983	GO:0016491|GO:0016625|GO:0051536|GO:0055114	PF02730	"Aldehyde ferredoxin oxidoreductase, N-terminal"	
custom_950186_1	IPR006254	GO:0004451|GO:0019752	PF00463	Isocitrate lyase	KEGG: 00630+4.1.3.1|MetaCyc: PWY-6969
custom_950186_1	IPR006254	GO:0004451|GO:0019752	PF00463	Isocitrate lyase	KEGG: 00630+4.1.3.1|MetaCyc: PWY-6969
custom_2500330_53	IPR001078	GO:0016746	PF00198	"2-oxoacid dehydrogenase acyltransferase, catalytic domain"	Reactome: R-HSA-389661
custom_2500330_53	IPR004167	GO:0016746	PF02817	Peripheral subunit-binding domain	Reactome: R-HSA-389661
OIP12852.1	IPR003660	GO:0007165|GO:0016021	PF00672	HAMP domain	
OIP12852.1	IPR003661	GO:0000155|GO:0007165	PF00512	"Signal transduction histidine kinase, dimerisation/phosphoacceptor domain"	
OIP12852.1	IPR003594	-	PF02518	Histidine kinase/HSP90-like ATPase	
PZP39388.1	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
PZP39388.1	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
PZP39388.1	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
custom_1407845_4	IPR020828	GO:0016620|GO:0055114	PF00044	"Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain"	Reactome: R-HSA-70171|Reactome: R-HSA-70263
custom_1407845_4	IPR020829	GO:0016620|GO:0055114	PF02800	"Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain"	Reactome: R-HSA-70171|Reactome: R-HSA-70263
WP_134600093.1	IPR012280	GO:0008652|GO:0016620|GO:0046983	PF02774	"Semialdehyde dehydrogenase, dimerisation domain"	KEGG: 00220+1.2.1.38|MetaCyc: PWY-5154|MetaCyc: PWY-7400
custom_2276964_1	IPR026017	-	PF00677	Lumazine-binding domain	KEGG: 00740+2.5.1.9|MetaCyc: PWY-6167|MetaCyc: PWY-6168
custom_2276964_1	IPR026017	-	PF00677	Lumazine-binding domain	KEGG: 00740+2.5.1.9|MetaCyc: PWY-6167|MetaCyc: PWY-6168
OYT88378.1	IPR020070	-	PF01281	"Ribosomal protein L9, N-terminal"	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
OYT88378.1	IPR020069	-	PF03948	"Ribosomal protein L9, C-terminal"	
custom_2490884_10	IPR008331	GO:0006879|GO:0008199	PF00210	Ferritin/DPS protein domain	
RTL35013.1	IPR007813	-	PF05137	Fimbrial assembly PilN	
custom_32346_10	IPR000184	GO:0019867	PF01103	Bacterial surface antigen (D15)	Reactome: R-HSA-1268020|Reactome: R-HSA-8949613
custom_32346_10	IPR010827	GO:0019867	PF07244	"POTRA domain, BamA/TamA-like"	
custom_32346_10	IPR010827	GO:0019867	PF07244	"POTRA domain, BamA/TamA-like"	
custom_32346_10	IPR010827	GO:0019867	PF07244	"POTRA domain, BamA/TamA-like"	
custom_32346_10	IPR010827	GO:0019867	PF07244	"POTRA domain, BamA/TamA-like"	
custom_1588746_5	IPR008147	GO:0004356|GO:0006542|GO:0006807	PF03951	"Glutamine synthetase, beta-Grasp domain"	KEGG: 00220+6.3.1.2|KEGG: 00250+6.3.1.2|KEGG: 00630+6.3.1.2|KEGG: 00910+6.3.1.2|MetaCyc: PWY-381|MetaCyc: PWY-5675|MetaCyc: PWY-6549|MetaCyc: PWY-6963|MetaCyc: PWY-6964|Reactome: R-HSA-210455|Reactome: R-HSA-8964539
custom_1588746_5	IPR008146	GO:0004356|GO:0006807	PF00120	"Glutamine synthetase, catalytic domain"	KEGG: 00220+6.3.1.2|KEGG: 00250+6.3.1.2|KEGG: 00630+6.3.1.2|KEGG: 00910+6.3.1.2|MetaCyc: PWY-381|MetaCyc: PWY-5675|MetaCyc: PWY-6549|MetaCyc: PWY-6963|MetaCyc: PWY-6964
SFH37731.1	IPR006665	-	PF00691	OmpA-like domain	
custom_196571_111	IPR034300	-	PF02233	NADP transhydrogenase beta-like domain	Reactome: R-HSA-71403
custom_2082819_30	IPR020040	GO:0003735|GO:0005840|GO:0006412|GO:0019843	PF00347	"Ribosomal protein L6, alpha-beta domain"	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957
custom_2082819_30	IPR020040	GO:0003735|GO:0005840|GO:0006412|GO:0019843	PF00347	"Ribosomal protein L6, alpha-beta domain"	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957
WP_086622581.1	IPR003594	-	PF02518	Histidine kinase/HSP90-like ATPase	
WP_086622581.1	IPR001404	GO:0005524|GO:0006457|GO:0051082	PF00183	Heat shock protein Hsp90 family	
RPJ47667.1	IPR000551	GO:0003677|GO:0006355	PF13411	MerR-type HTH domain	
custom_1988688_52	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
custom_1988688_52	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
custom_1988688_52	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
custom_809000_3	IPR031877	GO:0046872	PF16785	Metal-binding protein SmbP	
custom_197104_60	IPR025997	-	PF13407	Periplasmic binding protein	
WP_110266925.1	-	-	PF03308	-	
WP_110266925.1	IPR006158	GO:0031419|GO:0046872	PF02310	Cobalamin (vitamin B12)-binding domain	Reactome: R-HSA-196741
WP_110266925.1	IPR006099	GO:0016866|GO:0031419	PF01642	"Methylmalonyl-CoA mutase, alpha/beta chain, catalytic"	Reactome: R-HSA-196741|Reactome: R-HSA-3359475|Reactome: R-HSA-3359478|Reactome: R-HSA-71032
WP_066177279.1	IPR020617	GO:0016747	PF02803	"Thiolase, C-terminal"	
WP_066177279.1	IPR020616	GO:0016747	PF00108	"Thiolase, N-terminal"	
custom_1414746_1	IPR000424	GO:0003697	PF00436	Primosome PriB/single-strand DNA-binding	Reactome: R-HSA-2151201
custom_692264_1	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
RZL54273.1	IPR009056	GO:0009055|GO:0020037	PF00034	Cytochrome c-like domain	Reactome: R-HSA-111457|Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-5628897|Reactome: R-HSA-611105|Reactome: R-HSA-9627069
RZL54273.1	IPR009056	GO:0009055|GO:0020037	PF00034	Cytochrome c-like domain	Reactome: R-HSA-111457|Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-5628897|Reactome: R-HSA-611105|Reactome: R-HSA-9627069
custom_396187_347	IPR007066	GO:0003677|GO:0003899|GO:0006351	PF04983	"RNA polymerase Rpb1, domain 3"	
custom_396187_347	IPR000722	GO:0003677|GO:0003899|GO:0006351	PF00623	"RNA polymerase, alpha subunit"	
custom_396187_347	IPR000722	GO:0003677|GO:0003899|GO:0006351	PF00623	"RNA polymerase, alpha subunit"	
custom_396187_347	IPR007080	GO:0003677|GO:0003899|GO:0006351	PF04997	"RNA polymerase Rpb1, domain 1"	
