protein	eggNOG	eggNOG_name	eggNOG_annotation
custom_2626197_6	"1RDWJ,2KWB106389,2VR52,COG0735,COG0735"	fur	Belongs to the Fur family
custom_123166_6	"1N6EM,2KW2006389,2VM27,COG2885,COG2885"	ompA	Belongs to the ompA family
WP_019919445.1	"1MVCE,2KV9X06389,2VHBG,COG0045,COG0045"	sucC	"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit"
WP_020205948.1	"1K11D060,1MUQ2,2VH57,COG0499,COG0499"	ahcY	May play a key role in the regulation of the intracellular concentration of adenosylhomocysteine
EQB64020.1	"2NNQV,COG0050,COG0050"	tuf	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
custom_1283836_2	"1RGWF,2VSDQ,474C4,COG0051,COG0051"	rpsJ	Involved in the binding of tRNA to the ribosomes
BAN33946.1	"1MUMW,2VIR9,COG1077,COG1077"	mreB	"Cell shape determining protein, MreB Mrl family"
BAN35084.1	"1MU1C,2VH91,COG1104,COG1104"	iscS	"Master enzyme that delivers sulfur to a number of partners involved in Fe-S cluster assembly, tRNA modification or cofactor biosynthesis. Catalyzes the removal of elemental sulfur atoms from cysteine to produce alanine. Functions as a sulfur delivery protein for Fe-S cluster synthesis onto IscU, an Fe-S scaffold assembly protein, as well as other S acceptor proteins"
ERH40858.1	"1JD5X,1MVC0,1RMYX,COG0050,COG0050"	tuf	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
custom_2557754_1	"1RGWK,2KWKR06389,2VSEZ,COG0347,COG0347"	glnB	Belongs to the P(II) protein family
custom_461493_24	"1MUAI,2KVIT06389,2VHQN,COG0092,COG0092"	rpsC	"Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation"
custom_2355944_1	"1MUXX,2KVJX06389,2VH05,COG1703,COG1703,COG1884,COG1884,COG2185,COG2185"	icmF	"Catalyzes the reversible interconversion of isobutyryl- CoA and n-butyryl-CoA, using radical chemistry. Also exhibits GTPase activity, associated with its G-protein domain (MeaI) that functions as a chaperone that assists cofactor delivery and proper holo-enzyme assembly"
AGW92175.1	"1K0VQ060,1MU7B,2VHUY,COG0067,COG0067,COG0069,COG0069,COG0070,COG0070"	gltB	glutamate synthase
custom_2529738_11	"1K2Y1060,1MUFU,2VHDZ,COG0055,COG0055"	atpD	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits
custom_1913711_1	"3J1FU0117,COG1140,COG1140"	narH	"Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology"
custom_2010921_2	"1K9CB060,1MZ57,2VU1B,COG0227,COG0227"	rpmB	Belongs to the bacterial ribosomal protein bL28 family
custom_929669_2	"1KQAI066,1MV0Y,2VJ7Z,COG0137,COG0137"	argG	Arginosuccinate synthase
EXI65545.1	"1KQHW066,1MV1N,2VJTA,COG1344,COG1344"	fliC	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella
custom_394685_2	"1QVBY,2VRK5,COG0784,COG0784"	-	response regulator
custom_2140479_2	"1KR7G066,1MVHC,2VHPJ,COG1638,COG1638"	dctP	"Bacterial extracellular solute-binding protein, family 7"
custom_2623868_4	"1MWTW,2VPYJ,COG5361,COG5361"	-	Protein of unknown function (DUF1254)
custom_1694978_40	"1KQ47066,1MZ4P,2VTZH,COG0236,COG0236"	acpP	Carrier of the growing fatty acid chain in fatty acid biosynthesis
custom_1938610_2	"1MUY9,2VKQX,COG1013,COG1013"	porB	PFAM Thiamine pyrophosphate
custom_274178_40	"1RJXK,28KIX,2W5E3,2ZA44"	phaE	Poly(R)-hydroxyalkanoic acid synthase subunit (PHA_synth_III_E)
custom_234441_12	"1KQ6K066,1MVJ8,2VHP4,COG4147,COG4147"	actP	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
custom_2331714_6	"1N3PN,2VHSF,COG2010,COG2010"	nirS	"Cytochrome d1, heme"
custom_813929_33	"1KPX5066,1MUS4,2VQ80,COG0098,COG0098"	rpsE	Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body
custom_517678_3	"1KPN1066,1MUGA,2VH1U,COG0074,COG0074"	sucD	"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit"
custom_1799175_4	"1KPS5066,1MVHS,2VIKC,COG0479,COG0479"	sdhB	fumarate reductase iron-sulfur protein
custom_1428191_1	"1KQDF066,1MVAX,2VIYF,COG4799,COG4799"	pccB	Carboxyl transferase domain
custom_1855743_4	"1KPTK066,1MW0U,2VGZH,COG0522,COG0522"	rpsD	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit"
custom_2016556_8	"1KPND066,1MVEN,2VH14,COG0443,COG0443"	dnaK	Heat shock 70 kDa protein
custom_851170_4	"1KQBB066,1MUF5,2VI3T,COG0365,COG0365"	prpE	Acetyl-coenzyme A synthetase N-terminus
custom_1777957_2	"1KPNW066,1MU7K,2VIHA,COG0508,COG0508"	aceF	acetyltransferase component of pyruvate dehydrogenase complex
custom_2337356_1	"1KPRW066,1MVCE,2VHBG,COG0045,COG0045"	sucC	"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit"
custom_637005_43	"1NS3T,2VIB1,COG0243,COG0243"	napA	Belongs to the prokaryotic molybdopterin-containing oxidoreductase family
custom_717094_7	"1KQG1066,1MU7B,2VHUY,COG0067,COG0067,COG0069,COG0069,COG0070,COG0070"	gltB	GXGXG motif
custom_1545254_15	"1KQFN066,1MWQU,2VH6N,COG0379,COG0379"	nadA	Catalyzes the condensation of iminoaspartate with dihydroxyacetone phosphate to form quinolinate
custom_717094_14	"1KQBW066,1QTT6,2VHY4,COG4796,COG4796"	pilQ	Bacterial type II and III secretion system protein
custom_1747905_1	"1R2KH,COG4625,COG4625"	-	PEP-CTERM motif
custom_1075237_11	"1KR7G066,1MVHC,2VHPJ,COG1638,COG1638"	dctP	"Bacterial extracellular solute-binding protein, family 7"
custom_2331714_19	"1KQ89066,1MU5G,2VH4C,COG0183,COG0183"	thlA	"Thiolase, C-terminal domain"
custom_368218_20	"1KQSA066,1RGWK,2VSEZ,COG0347,COG0347"	glnK	Nitrogen regulatory protein P-II
EXI88868.1	"1KQE9066,1MUXX,2VIT2,COG1884,COG1884,COG2185,COG2185"	bhbA	Methylmalonyl-CoA mutase
custom_1576986_33	"1KQIV066,1MXEY,2VIJ2,COG2993,COG2993"	ccoO	"Cytochrome C oxidase, mono-heme subunit/FixO"
custom_1647530_32	"1MXIK,2W1P8,COG0604,COG0604,COG2905,COG2905"	ccr	Domain in cystathionine beta-synthase and other proteins.
custom_2278901_15	"1MVE2,2VGZV,COG2326,COG2326"	pap	polyphosphate kinase
custom_1206246_14	"1KPN1066,1MUGA,2VH1U,COG0074,COG0074"	sucD	"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit"
custom_1300426_5	"1KPYX066,1RA11,2VQ07,COG0102,COG0102"	rplM	"This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly"
custom_643111_22	"1MW4J,2VJIJ,COG0058,COG0058"	glgP	"Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties"
custom_274178_39	"1MU68,2WFC0,COG3243,COG3243"	phaC	Poly-beta-hydroxybutyrate polymerase (PhaC) N-terminus
custom_269935_4	"1KQIQ066,1MU5G,2VH4C,COG0183,COG0183"	atoB	"Thiolase, C-terminal domain"
custom_1370516_18	"1MWB8,28I62,2Z896"	-	-
custom_1517118_23	"1KQGF066,1MUEV,2VH8R,COG1028,COG1028"	-	KR domain
custom_1517118_4	"1MXY9,COG1392,COG1392"	CP_0066	Phosphate transport regulator (Distant homolog of PhoU)
custom_1855743_24	"1KQ2U066,1RH0W,2VSE6,COG0091,COG0091"	rplV	"The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome"
custom_535022_18	"1N3A1,COG3133,COG3133"	pcp	Outer Membrane Lipoprotein
custom_1790899_15	"1MV9T,28JYD,2Z9NN"	-	-
custom_2100270_5	"1KQ3Z066,1MZ57,2VU1B,COG0227,COG0227"	rpmB	Belongs to the bacterial ribosomal protein bL28 family
custom_86090_269	"1I5TP,2EE6Q,33819,34RXT08865,4NX0U"	-	-
custom_86090_267	"1HXZJ,34S3U08865,4NDW5,COG0845,COG0845"	-	Barrel-sandwich domain of CusB or HlyD membrane-fusion
WP_026154779.1	"1MU5C,1RNP7,461NX,COG3517,COG3517"	sciI	"Type VI secretion protein, EvpB/VC_A0108, tail sheath"
WP_026685247.1	"1MUIT,2KVHT06389,2VHVA,COG0504,COG0504"	pyrG	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen. Regulates intracellular CTP levels through interactions with the four ribonucleotide triphosphates
WP_026685510.1	"1MVAV,2KUBW06389,2VI12,COG0539,COG0539"	rpsA	thus facilitating recognition of the initiation point. It is needed to translate mRNA with a short Shine-Dalgarno (SD) purine-rich sequence
WP_026685518.1	"1N6EM,2KW2006389,2VM27,COG2885,COG2885"	ompA	Belongs to the ompA family
custom_2007371_4	"1MVEN,2KVAY06389,2VH14,COG0443,COG0443"	dnaK	Heat shock 70 kDa protein
WP_026685983.1	"1MU7K,2KV9Z06389,2VIHA,COG0508,COG0508"	aceF	The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)
WP_026686713.1	"1MVEV,2KVUU06389,2VJK0,COG2225,COG2225"	aceB	Malate synthase
WP_026687144.1	"1MUF5,2KUJV06389,2VIP3,COG0365,COG0365"	acsA	"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA"
WP_026687302.1	"1MVBF,2KVN806389,2VJ0G,COG0567,COG0567"	sucA	Dehydrogenase E1 component
custom_733127_8	"1MURR,2KUH806389,2VIW1,COG0459,COG0459"	groL	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions
custom_738724_17	"1MUG7,2KV0S06389,2VHQU,COG0056,COG0056"	atpA	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit
WP_026921369.1	"1K2U0060,1MU5C,2VKCP,COG3517,COG3517"	sciI	type VI secretion protein
custom_634769_41	"1MU6U,2VJ55,4AAYC0864,COG0028,COG0028"	ilvI	"TIGRFAM acetolactate synthase, large subunit, biosynthetic type"
WP_027022395.1	"1MUC4,2KQ2X06351,2VHF3,COG0085,COG0085"	rpoB	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
WP_027456248.1	"1P8MN,2KVHX06389,2VJYV,COG1034,COG1034"	nuoG	COG1034 NADH dehydrogenase NADH ubiquinone oxidoreductase 75 kD subunit (chain G)
custom_1173727_4	"1MUCW,2KUZH06389,2VHGS,COG2010,COG2010"	ccoP	C-type cytochrome. Part of the cbb3-type cytochrome c oxidase complex
custom_2621233_9	"1RD0A,2KW6N06389,2VR8I,COG0100,COG0100"	rpsK	"Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome"
custom_2632421_1	"1RDG3,2KWAI06389,2VRBD,COG0096,COG0096"	rpsH	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit"
custom_1087513_2	"1MZQD,2KWPF06389,2VUC6,COG0198,COG0198"	rplX	One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit
custom_2073365_1	"1RCWZ,2KWBZ06389,2VR2N,COG0093,COG0093"	rplN	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome
custom_1718863_3	"1MZXX,2KWRX06389,2VU1C,COG0089,COG0089"	rplW	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome
custom_2083305_2	"1QTT6,2KUHK06389,2VHY4,COG4796,COG4796"	pilQ	Type 4 fimbrial biogenesis protein
custom_2235518_2	"1N6X7,2KX0506389,2WFR8,COG4575,COG4575"	-	Bacterial protein of unknown function (DUF883)
custom_1216673_9	"1MU0A,2KV7P06389,2VIYB,COG0280,COG0280,COG0281,COG0281"	maeB	Malic enzyme
custom_1515720_1	"1MUVV,2KV8106389,2VHS3,COG0422,COG0422"	thiC	Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction
custom_1851512_5	"1RDH0,2KV6M06389,2VQNU,COG1825,COG1825"	ctc	This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance
custom_310576_2	"1MVMD,2KURQ06389,2VH1J,COG4663,COG4663"	-	Part of the tripartite ATP-independent periplasmic (TRAP) transport system
custom_193209_4	"1RJUA,2KWSY06389,2VTPT,COG5490,COG5490"	phaP	Phasin protein
custom_2097907_3	"1MUGA,2KUAR06389,2VH1U,COG0074,COG0074"	sucD	"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit"
custom_1366751_1	"1R4SV,2KW9606389,2VQP2,COG5490,COG5490"	phaP	Phasin protein
custom_2508981_15	"1MUEV,2KVXS06389,2VH8R,COG1028,COG1028"	-	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
custom_9924_11	"1MZ4P,2KWX106389,2VTZH,COG0236,COG0236"	acpP	Carrier of the growing fatty acid chain in fatty acid biosynthesis
custom_2232722_24	"1N4MS,2KXFV06389,2VU7H,COG4309,COG4309"	-	Uncharacterized conserved protein (DUF2249)
custom_2101114_10	"1MU0D,2KV1306389,2VHTX,COG4775,COG4775"	bamA	"Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane"
custom_444223_5	"1MV15,2KUD706389,2VIVV,COG0492,COG0492"	trxB	Belongs to the class-II pyridine nucleotide-disulfide oxidoreductase family
custom_211974_16	"1MUQ3,2KV9E06389,2VI3K,COG3808,COG3808"	hppA	Proton pump that utilizes the energy of pyrophosphate hydrolysis as the driving force for proton movement across the membrane. Generates a proton motive force
custom_2146832_4	"1Q8PP,2KUU306389,2VJG5,COG3005,COG3005"	-	Ethylbenzene dehydrogenase
WP_027469387.1	"1RGWK,2KWKR06389,2VSEZ,COG0347,COG0347"	glnB	Belongs to the P(II) protein family
WP_027473956.1	"1KJQF065,1MURR,2VIW1,COG0459,COG0459"	groL	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions
WP_027948216.1	"1MUXX,1RSHX,469B0,COG1884,COG1884,COG2185,COG2185"	bhbA	Methylmalonyl-CoA mutase
WP_028453473.1	"1MU2H,1RMY7,1Y49M,COG0493,COG0493"	gltD	glutamate synthase
WP_028877774.1	"1MVCR,2TS9P,COG1049,COG1049"	acnB	aconitate hydratase
WP_028994408.1	"1RJUA,2KWSY06389,2VTPT,COG5490,COG5490"	phaP	Phasin protein
WP_028994587.1	"1P8MN,2KVHX06389,2VJYV,COG1034,COG1034"	nuoG	COG1034 NADH dehydrogenase NADH ubiquinone oxidoreductase 75 kD subunit (chain G)
custom_1938243_2	"1RH3A,2KR2V06351,2VR2S,COG0335,COG0335"	rplS	This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site
custom_743713_5	"1MX1V,2KVEX06389,2VH1A,COG1190,COG1190"	lysS	Belongs to the class-II aminoacyl-tRNA synthetase family
WP_028995953.1	"1MVHC,2KV1X06389,2VHPJ,COG1638,COG1638"	dctP	"COG1638 TRAP-type C4-dicarboxylate transport system, periplasmic component"
custom_2540321_8	"1KJ1B065,1MWBB,2VJ8P,COG2414,COG2414"	aorA	Aldehyde ferredoxin oxidoreductase
WP_029362983.1	"1MURG,2VHJT,4725K,COG0150,COG0150"	purM	"AIR synthase related protein, N-terminal domain"
custom_1948238_1	"1KST0069,1MWEB,2VJF4,COG1850,COG1850"	cbbL	"Ribulose bisphosphate carboxylase large chain, catalytic domain"
custom_1948238_1	"1KST0069,1MWEB,2VJF4,COG1850,COG1850"	cbbL	"Ribulose bisphosphate carboxylase large chain, catalytic domain"
WP_031346030.1	"1MU43,2KUWB06389,2VHYU,COG0247,COG0247,COG0277,COG0277,COG1145,COG1145"	glpCD	FAD linked oxidase
custom_299854_5	"1R7U2,COG2301,COG2301"	-	Belongs to the HpcH HpaI aldolase family
custom_1581684_14	"1RJXK,28KIX,2W5E3,2ZA44"	phaE	Poly(R)-hydroxyalkanoic acid synthase subunit (PHA_synth_III_E)
custom_2596236_6	"1RA6V,2VNRD,COG3417,COG3417"	lpoB	membrane lipoprotein lipid attachment site
custom_1798938_16	"1MWJ1,2VHM7,COG0683,COG0683"	-	ABC-type branched-chain amino acid transport systems periplasmic component
custom_194819_46	"1NEZC,2VIMD,473YX,COG1538,COG1538"	czcC	Evidence 2a Function of homologous gene experimentally demonstrated in an other organism
custom_159679_21	"1MVE2,2VKAM,COG2326,COG2326"	ppk2	Polyphosphate kinase 2 (PPK2)
custom_278428_11	"1KQGB066,1MUQE,2VHK0,COG1593,COG1593"	mcd	Malonyl-CoA decarboxylase N-terminal domain
custom_1349377_10	"1KPT5066,1MUJM,2VH9X,COG0516,COG0516,COG0517,COG0517"	guaB	"Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth"
custom_2437031_7	"1MU9B,2KUPC06389,2VGZ8,COG0840,COG0840"	-	COG2202 FOG PAS PAC domain
custom_1197379_4	"1MVEV,2VJK0,COG2225,COG2225"	aceB	Belongs to the malate synthase family
custom_453094_5	"1KQJ8066,1MUDR,2VHT0,COG1960,COG1960"	mmgC	"Acyl-CoA dehydrogenase, C-terminal domain"
custom_205431_1	"1MWBZ,2VK9R,COG0366,COG0366"	glgE	"Maltosyltransferase that uses maltose 1-phosphate (M1P) as the sugar donor to elongate linear or branched alpha-(1- 4)- glucans. Is involved in a branched alpha-glucan biosynthetic pathway from trehalose, together with TreS, Mak and GlgB"
